animal,id,name,price,originalPrice,discount,description,image
cow,cow-med-1,Ceftiofur Sodium,1200,1500,20% off,Antibiotic for mastitis and respiratory infections in cows. Vet guidance required.,images/cow/ceftiofur-sodium.jpg
cow,cow-med-2,Ivermectin,600,750,20% off,Controls internal and external parasites in cows, safe for dairy.,images/cow/ivermectin.jpg
cow,cow-med-3,Calcium Gluconate,400,500,20% off,Prevents milk fever and supports bone health in dairy cows.,images/cow/calcium-gluconate.jpg
cow,cow-med-4,Meloxicam,800,1000,20% off,Anti-inflammatory for pain relief in cows, ideal for lameness.,images/cow/meloxicam.jpg
cow,cow-med-5,Fenbendazole,550,700,21% off,Broad-spectrum dewormer for gastrointestinal parasites in cows.,images/cow/fenbendazole.jpg
cow,cow-med-6,Flumethasone,900,1100,18% off,Corticosteroid for allergic reactions and inflammation in cows.,images/cow/flumethasone.jpg
cow,cow-med-7,Probiotics,400,500,20% off,Supports rumen health and digestion in cows.,images/cow/probiotics.jpg
cow,cow-med-8,Oxytetracycline,650,800,19% off,Broad-spectrum antibiotic for infections like foot rot in cows.,images/cow/oxytetracycline.jpg
cow,cow-med-9,Vitamin AD3E,450,550,18% off,Boosts immunity and milk production in cows.,images/cow/vitamin-ad3e.jpg
cow,cow-med-10,Albendazole,500,620,19% off,Anti-parasitic for worms and flukes in cows.,images/cow/albendazole.jpg
cow,cow-med-11,Enrofloxacin,700,850,18% off,Antibiotic for respiratory and urinary infections in cows.,images/cow/enrofloxacin.jpg
cow,cow-med-12,Levamisole,350,450,22% off,Dewormer for roundworms and lungworms in cows.,images/cow/levamisole.jpg
cow,cow-med-13,Tylosin,800,1000,20% off,Treats respiratory diseases like pneumonia in cows.,images/cow/tylosin.jpg
cow,cow-med-14,Amoxicillin,600,750,20% off,Antibiotic for bacterial infections in cows.,images/cow/amoxicillin.jpg
cow,cow-med-15,Mineral Mix,300,400,25% off,Trace minerals for overall cow health and productivity.,images/cow/mineral-mix.jpg
cow,cow-med-16,Butaphosphan,550,700,21% off,Metabolic stimulant for recovery in weak cows.,images/cow/butaphosphan.jpg
cow,cow-med-17,Vitamin B Complex,250,320,22% off,Supports metabolism and recovery in cows.,images/cow/vitamin-b-complex.jpg
cow,cow-med-18,Dexamethasone,400,500,20% off,Anti-inflammatory for severe allergic reactions in cows.,images/cow/dexamethasone.jpg
cow,cow-med-19,Closantel,500,620,19% off,Controls liver flukes and external parasites in cows.,images/cow/closantel.jpg
cow,cow-med-20,Chloramphenicol,450,550,18% off,Antibiotic for bacterial infections, use under vet supervision.,images/cow/chloramphenicol.jpg
buffalo,buffalo-med-1,Ceftiofur Hydrochloride,1300,1600,19% off,Antibiotic for respiratory and uterine infections in buffaloes.,images/buffalo/ceftiofur-hydrochloride.jpg
buffalo,buffalo-med-2,Albendazole,500,620,19% off,Anti-parasitic for worms and flukes in buffaloes.,images/buffalo/albendazole.jpg
buffalo,buffalo-med-3,Vitamin AD3E,450,550,18% off,Boosts immunity and milk production in buffaloes.,images/buffalo/vitamin-ad3e.jpg
buffalo,buffalo-med-4,Oxytetracycline,700,850,18% off,Broad-spectrum antibiotic for infections in buffaloes.,images/buffalo/oxytetracycline.jpg
buffalo,buffalo-med-5,Mineral Mix,350,450,22% off,Trace minerals for buffalo health and productivity.,images/buffalo/mineral-mix.jpg
buffalo,buffalo-med-6,Meloxicam,850,1050,19% off,Pain relief for lameness and injuries in buffaloes.,images/buffalo/meloxicam.jpg
buffalo,buffalo-med-7,Fenbendazole,550,700,21% off,Dewormer for gastrointestinal parasites in buffaloes.,images/buffalo/fenbendazole.jpg
buffalo,buffalo-med-8,Probiotics,400,500,20% off,Improves digestion and rumen health in buffaloes.,images/buffalo/probiotics.jpg
buffalo,buffalo-med-9,Ivermectin,600,750,20% off,Controls parasites in buffaloes, safe for dairy.,images/buffalo/ivermectin.jpg
buffalo,buffalo-med-10,Calcium Gluconate,400,500,20% off,Prevents milk fever in buffaloes.,images/buffalo/calcium-gluconate.jpg
buffalo,buffalo-med-11,Enrofloxacin,750,900,17% off,Treats respiratory infections in buffaloes.,images/buffalo/enrofloxacin.jpg
buffalo,buffalo-med-12,Levamisole,350,450,22% off,Dewormer for roundworms in buffaloes.,images/buffalo/levamisole.jpg
